PGA_of_the_recording_scale1,PGA_of_the_recording_scale2
8.0105,5.8455
5.346500000000001,2.07213
6.031,3.26
3.2375000000000003,1.6865625
3.9034999999999997,3.1860999999999997
1.8870000000000002,1.539384
7.436999999999999,9.72036
6.364,2.8731568
2.74818,2.68917
2.40588,2.13528
1.33986,1.8495000000000004
1.6137,1.18305
3.54036,3.62
3.99024,8.973144
3.48168,3.43095
3.3741000000000003,5.2095
1.24206,1.916684
3.09048,7.640880000000001
1.24206,1.0607294
4.7791999999999994,2.01376
3.3784,2.214
2.6162,0.91059
3.5432,1.72
5.665,4.1525
3.6256,2.6561920000000003
1.64604,1.49296
2.09583,2.9565
2.64132,1.9789199999999998
4.09596,4.28
4.24908,9.764892000000001
4.06725,4.0959375
2.9667,4.681
1.51206,3.8204400000000005
3.04326,2.6559996
2.92516,4.5495
1.18048,0.97512
1.36276,1.57
2.95988,7.499613
3.45464,3.835725
1.2238799999999999,2.1290999999999998
1.1718000000000002,2.0374200000000005
1.8488399999999998,5.15034
1.00688,0.9688551999999999
5.251500000000001,2.78913
1.944,1.44
3.7395000000000005,6.092061
3.0915000000000004,2.2069875
5.373,6.0098
2.0385,2.2788920000000004
2.4570000000000003,4.40076
2.9565,1.8291317999999999
1.31928,1.84
2.12949,6.5319210000000005
3.00423,4.0381125
2.58837,5.4511
2.6027099999999996,5.478396
1.71363,5.779020000000001
2.04345,2.380377
2.01,4.420592999999999
2.85,2.7466875
2.91,4.3941
2.73,4.120116
3.78,9.14004
2.33,1.9460625999999999
3.782796,1.65765
3.584859,2.4613
4.442586,3.0485840000000004
6.180033,6.794580000000001
3.584859,1.3614085999999999
3.9995625,6.266500000000001
3.218925,5.0407280000000005
4.259775,3.6916724
4.6055,4.60306
5.013199999999999,8.02776
6.04,3.34088
6.4141,10.2765
1.5242920000000002,0.8435722
4.81182,1.6620878
2.057074,2.11791
1.123688,1.7708439999999999
1.603974,2.0068259999999998
3.207948,5.682054
2.7095380000000002,2.92422
2.35612,5.356000000000001
3.090142,3.26337
1.2143080000000002,1.1631200000000002
3.525118,5.251500000000001
1.794276,1.41966
1.277742,1.41
1.078378,2.617167
3.479808,3.7007999999999996
3.343878,5.5719
1.839586,3.063676
1.26868,3.3852
1.123688,1.0356728
6.7295,4.469952999999999
4.4075,3.2904549999999997
6.837,3.04326
8.213,5.157
3.2035,1.49
3.1605,3.232971
5.460999999999999,2.447925
6.471499999999999,4.5451
6.88,7.7376000000000005
2.29518,2.789148
2.56575,5.0875
1.4274900000000001,1.49634
3.0042600000000004,3.08154
1.40883,1.31068
2.41647,1.8570299999999997
1.9313099999999999,2.07
1.12893,2.661153
3.65736,3.7779
3.71334,6.006616
1.4648100000000002,1.3112953999999999
2.113588,1.678024
1.85653,2.08663
3.8130269999999995,4.9395
3.2275059999999995,2.2102799999999996
1.842249,1.23453
3.9415559999999994,2.3956799999999996
3.5702499999999997,3.375
4.9412259999999995,2.48082
3.684498,2.58
4.227176,6.509928
4.755573,3.2092875
5.041193,5.330299999999999
1.6423149999999997,2.7807
2.756233,1.6119746
2.199572,3.1138939999999997
3.0499219999999996,4.9765
1.4512639999999999,1.25184
4.421819999999999,3.7323
4.161046,3.1855599999999997
3.752878,4.468500000000001
3.9682999999999997,2.5095
2.6304159999999994,2.32
2.4830219999999996,4.816467
1.802742,1.5323625
1.3605599999999998,1.8119999999999998
3.254006,4.331404
3.390062,7.229820000000001
2.460346,1.8124273999999998
5.810462,6.697000000000001
3.2102,1.956
2.182936,1.30152
4.622688,2.49984
4.076954,1.82118
4.17326,5.71818
1.9100689999999998,1.1468625
5.553646,5.2246
4.510331,4.240852
5.040014,7.59252
3.980648,2.0713456
3.33,1.7226
3.2745,1.53636
2.9600000000000004,2.16
1.8685,0.72417
3.7554999999999996,2.03
4.495500000000001,5.344299
6.142,3.1996499999999997
