Recording_index,AccName1,Fund_Freq1,AbsoluteAmplitude1,AccName2,Fund_Freq2,AbsoluteAmplitude2
83,ERENN126E86,0.625651720542231,1.605056,INCNS86,0.72992700729927,-0.957
13,BLVN65E86,0.660377358490566,-0.906196,OTPEW86,0.660377358490566,2.19932
166,MLTN92W86,0.727650727650728,-1,PNDN139W90,3.11850311850312,-1.51
178,PNDN139W86,0.740055504162812,-0.963746,TITN55W86,1.20259019426457,-0.835219
102,INCEW77,0.413223140495868,1.85,PNDN139W86,0.751314800901578,-0.963746
111,INCEW90,1.00214745884037,0.978,METN127W86,0.572655690765927,0.717
85,ERENN126E86,0.647668393782384,1.605056,MAGNS86,0.647668393782384,-1.35
21,BLVN155E90,2.82758620689655,-2.15,ERENN126E86,0.620689655172414,1.605056
114,INCEW90,1.01708706265256,0.978,PNDN139W86,0.732302685109845,-0.963746
17,BLVN65E86,0.660377358490566,-0.906196,PRSN100W90,3.25471698113208,-2.417965
104,INCEW77,0.413223140495868,1.85,PRSN100W86,1.20210368144252,-1.509198
99,INCEW77,0.393700787401575,1.85,METN127W86,0.572655690765927,0.717
42,BRNN107W86,0.753012048192771,0.933,METN127W86,0.572289156626506,0.717
8,BLVN65E86,0.660377358490566,-0.906196,INCNS86,0.707547169811321,-0.957
109,INCEW90,1.0022271714922,0.978,ISPHN15E86,0.705270972531552,0.868
171,OTPEW86,0.652173913043478,2.19932,PNDN139W90,3.09782608695652,-1.51
1,BLVN65E86,0.662650602409638,-0.906196,BRNN107W86,0.753012048192771,0.933
5,BLVN65E86,0.67618332081142,-0.906196,INCEW77,0.413223140495868,1.85
19,BLVN155E90,2.82758620689655,-2.15,BRNN107W86,0.753012048192771,0.933
65,DRSN174W90,3.75634517766497,1.133816,ERENN126E86,0.609137055837564,1.605056
52,BRNN107W90,2.44100895036615,1.428123,INCEW90,1.01708706265256,0.978
119,INCNS77,0.625651720542231,-2.06,INCNS86,0.72992700729927,-0.957
71,DRSN174W90,3.75634517766497,1.133816,MAGNS86,0.609137055837564,-1.35
144,ISPHN15E86,0.705270972531552,0.868,PNDN139W86,0.742390497401633,-0.963746
155,MAGNS86,0.646678424456202,-1.35,PRSN100W90,3.23339212228101,-2.417965
128,INCNS77,0.587889476778366,-2.06,PRSN100W90,3.23339212228101,-2.417965
147,ISPHN15E86,0.705270972531552,0.868,PRSN100W90,3.2293986636971,-2.417965
51,BRNN107W90,2.55447032306536,1.428123,INCEW77,0.413223140495868,1.85
4,BLVN65E86,0.660377358490566,-0.906196,ERENN126E86,0.613207547169811,1.605056
92,ERENN126E86,0.646678424456202,1.605056,PRSN100W90,3.23339212228101,-2.417965
88,ERENN126E86,0.597826086956522,1.605056,OTPEW86,0.652173913043478,2.19932
108,INCEW90,1.01708706265256,0.978,INCNS86,0.732302685109845,-0.957
96,INCEW77,0.413223140495868,1.85,INCNS86,0.713749060856499,-0.957
162,METN127W86,0.572655690765927,0.717,PRSN100W90,3.22118826055834,-2.417965
146,ISPHN15E86,0.705270972531552,0.868,PRSN100W86,0.66815144766147,-1.509198
105,INCEW77,0.413223140495868,1.85,PRSN100W90,3.23065364387678,-2.417965
49,BRNN107W90,2.53807106598985,1.428123,DRSN174W90,3.75634517766497,1.133816
137,INCNS86,0.72694229895502,-0.957,PRSN100W86,0.681508405270332,-1.509198
116,INCEW90,1.01708706265256,0.978,PRSN100W86,1.22050447518308,-1.509198
60,BRNN107W90,3.18543799772469,1.428123,PNDN139W86,0.739476678043231,-0.963746
41,BRNN107W86,0.753012048192771,0.933,MAGNS86,0.609137055837564,-1.35
30,BLVN155E90,2.82608695652174,-2.15,OTPEW86,0.652173913043478,2.19932
75,DRSN174W90,3.75634517766497,1.133816,PNDN139W86,0.710659898477157,-0.963746
129,INCNS77,0.601295097132285,-2.06,TITN55W86,1.20259019426457,-0.835219
173,OTPEW86,0.652173913043478,2.19932,PRSN100W90,3.26086956521739,-2.417965
56,BRNN107W90,3.20284697508897,1.428123,MAGNS86,0.652431791221827,-1.35
15,BLVN65E86,0.660377358490566,-0.906196,PNDN139W90,3.11320754716981,-1.51
63,BRNN107W90,2.52792475014697,1.428123,PRSN100W90,3.23339212228101,-2.417965
94,INCEW77,0.413223140495868,1.85,INCEW90,1.01427498121713,0.978
20,BLVN155E90,2.78766310794781,-2.15,BRNN107W90,3.20284697508897,1.428123
