no_story,no_story_2,T1,no_span,no_bay,no_span_2,no_bay_2,DI_cladire
8,4,0.63149,4,3,2,3,0.08555
4,2,0.61645,2,5,1,4,0.12204
5,3,0.76899,2,2,1,3,0.17588
8,2,0.6254,3,2,1,2,0.1239
12,10,0.94753,2,4,1,3,0.63154
10,2,0.80999,2,5,1,3,0.39299
4,2,0.67424,2,4,1,1,0.76706
6,2,0.52457,4,2,3,1,0.0058928
8,4,0.84306,3,4,1,1,0.11589
5,3,0.4972,2,3,1,3,0.045511
10,2,1.0373,4,5,1,1,0.38095
13,7,1.2121,2,3,1,1,0.62981
9,5,0.87638,5,4,2,2,0.35716
9,4,0.81297,5,2,1,5,0.49009
9,2,0.76723,5,2,4,1,0.85228
12,6,0.98381,5,3,3,3,1.209
11,4,1.0569,2,5,1,1,0.4581
7,5,0.64995,5,3,3,4,0.10025
13,7,1.4159,2,2,1,3,1.0092
8,4,0.89581,3,4,2,3,0.14972
12,9,1.0514,2,3,1,5,0.75567
11,6,1.0525,2,5,1,2,1.2502
5,2,0.5916,3,2,2,2,0.48375
5,3,0.659,3,4,1,4,0.3262
7,3,0.80111,3,2,2,2,0.32273
12,4,1.1449,2,5,1,2,2.4352
9,6,0.84487,3,2,2,3,0.28303
7,5,0.59435,2,4,1,2,0.097355
10,3,1.1247,5,3,3,3,0.48871
6,4,0.59824,3,2,2,4,0.39896
10,6,1.1206,5,3,4,1,0.45637
11,9,1.3678,5,5,3,1,1.0373
10,3,0.74404,3,2,1,1,0.083665
9,4,1.356,2,3,1,4,0.26115
8,2,0.77377,3,2,2,3,0.663
12,7,0.90192,4,3,2,3,1.129
4,2,0.41604,5,3,4,3,0.18272
9,3,0.63977,5,4,3,5,0.55511
8,6,0.70127,2,2,1,3,1.6341
13,9,1.2508,2,5,1,5,0.52958
9,5,0.75011,4,5,2,1,0.098237
12,8,1.2804,2,5,1,2,0.31168
6,4,0.64881,3,4,1,2,0.32192
13,4,1.4425,5,2,1,4,1.524
9,6,1.1036,2,2,1,2,1.1021
5,3,0.77858,4,5,3,5,0.27191
12,4,1.0142,3,2,2,5,0.10375
11,7,1.3841,4,5,3,4,0.99069
4,2,0.62493,3,3,2,1,0.054015
11,4,0.92519,4,4,1,3,1.2305
9,7,1.0375,2,4,1,2,0.3492
4,2,0.67331,4,5,3,4,0.60799
